	UMAP1	UMAP2
medtr_mappings/paired/SRR5721282/abundance	-4.509986	2.326284
medtr_mappings/paired/SRR7772262/abundance	-1.9968331	2.654676
medtr_mappings/paired/SRR7822206/abundance	5.2869053	0.14003009
medtr_mappings/paired/ERR1830524/abundance	3.6238697	-0.37692448
medtr_mappings/paired/SRR7738221/abundance	-7.401886	3.169473
medtr_mappings/paired/SRR7738218/abundance	-7.3324594	3.1505423
medtr_mappings/paired/SRR5721261/abundance	3.404992	-0.25974652
medtr_mappings/paired/SRR5721284/abundance	3.8984423	-0.7899672
medtr_mappings/paired/SRR1975019/abundance	5.1833262	-2.2685585
medtr_mappings/paired/SRR5721247/abundance	-3.8082552	1.7805202
medtr_mappings/paired/SRR5217265/abundance	3.3691032	0.059352532
medtr_mappings/paired/SRR7226324/abundance	-0.55292624	1.5156001
medtr_mappings/paired/SRR2015991/abundance	9.018362	0.378306
medtr_mappings/paired/SRR6283642/abundance	3.0694273	0.081280276
medtr_mappings/paired/SRR5721225/abundance	3.896793	-0.24150148
medtr_mappings/paired/SRR949261/abundance	6.7151284	0.259039
medtr_mappings/paired/SRR2015978/abundance	9.525139	0.47151884
medtr_mappings/paired/SRR2910681/abundance	5.744282	-0.73015404
medtr_mappings/paired/SRR6283633/abundance	7.17913	-0.9195522
medtr_mappings/paired/SRR2016027/abundance	9.587213	-0.33139417
medtr_mappings/paired/SRR5721221/abundance	-3.0783296	1.4904963
medtr_mappings/paired/SRR2015966/abundance	10.074055	-0.5619962
medtr_mappings/paired/SRR1523077/abundance	0.45906878	-13.034629
medtr_mappings/paired/ERR2193170/abundance	5.79825	-1.8868709
medtr_mappings/paired/SRR7822199/abundance	3.8107305	-0.9795417
medtr_mappings/paired/SRR2910684/abundance	7.1942844	-1.2110435
medtr_mappings/paired/SRR5740877/abundance	3.6235657	0.22057989
medtr_mappings/paired/SRR5740870/abundance	7.246036	-1.26184
medtr_mappings/paired/SRR2016004/abundance	10.045044	0.12270396
medtr_mappings/paired/SRR5217264/abundance	3.2476728	0.11142657
medtr_mappings/paired/SRR1523071/abundance	3.9294107	-0.20901336
medtr_mappings/paired/ERR1830525/abundance	3.667522	-0.5590902
medtr_mappings/paired/SRR504354/abundance	-3.9181595	3.3692067
medtr_mappings/paired/SRR5732308/abundance	-2.204724	1.4739673
medtr_mappings/paired/SRR5217284/abundance	3.795125	-0.7315065
medtr_mappings/paired/SRR7772260/abundance	-1.3178865	1.9645467
medtr_mappings/paired/SRR5721253/abundance	-3.4638305	1.4568216
medtr_mappings/paired/SRR5217285/abundance	4.966659	0.10045525
medtr_mappings/paired/SRR2910678/abundance	6.3954105	-0.894229
medtr_mappings/paired/SRR2015985/abundance	9.712293	-0.48779115
medtr_mappings/paired/SRR7738211/abundance	-5.969936	3.741737
medtr_mappings/paired/SRR7738223/abundance	-7.268611	3.0487537
medtr_mappings/paired/SRR7738216/abundance	-6.611156	2.888839
medtr_mappings/paired/SRR949246/abundance	6.0976276	-0.13557951
medtr_mappings/paired/SRR5721258/abundance	-4.1342096	1.7076455
medtr_mappings/paired/SRR5732309/abundance	0.5780887	0.7429304
medtr_mappings/paired/SRR5217273/abundance	3.517172	-0.8819815
medtr_mappings/paired/SRR5721235/abundance	-3.8612926	1.8658036
medtr_mappings/paired/SRR2910674/abundance	7.0775476	-1.0783879
medtr_mappings/paired/SRR949231/abundance	7.0648236	0.5019351
