TF_ID	Gene_ID	Family
PanWU01x14_158580.1	PanWU01x14_158580	RAV
PanWU01x14_235180.1	PanWU01x14_235180	RAV
PanWU01x14_194330.1	PanWU01x14_194330	RAV
PanWU01x14_001760.1	PanWU01x14_001760	WRKY
PanWU01x14_003120.1	PanWU01x14_003120	bZIP
PanWU01x14_003430.1	PanWU01x14_003430	SRS
PanWU01x14_004290.1	PanWU01x14_004290	HSF
PanWU01x14_004540.1	PanWU01x14_004540	CPP
PanWU01x14_006060.1	PanWU01x14_006060	NF-YC
PanWU01x14_006180.1	PanWU01x14_006180	bHLH
PanWU01x14_007050.1	PanWU01x14_007050	SBP
PanWU01x14_007120.1	PanWU01x14_007120	bHLH
PanWU01x14_007750.1	PanWU01x14_007750	NF-YB
PanWU01x14_008360.1	PanWU01x14_008360	WRKY
PanWU01x14_008370.1	PanWU01x14_008370	WRKY
PanWU01x14_008820.1	PanWU01x14_008820	WRKY
PanWU01x14_009600.1	PanWU01x14_009600	YABBY
PanWU01x14_009610.1	PanWU01x14_009610	SBP
PanWU01x14_010150.1	PanWU01x14_010150	bHLH
PanWU01x14_010410.1	PanWU01x14_010410	bHLH
PanWU01x14_012000.1	PanWU01x14_012000	bHLH
PanWU01x14_012800.1	PanWU01x14_012800	bHLH
PanWU01x14_013710.1	PanWU01x14_013710	BBR-BPC
PanWU01x14_014210.1	PanWU01x14_014210	bHLH
PanWU01x14_014960.1	PanWU01x14_014960	bHLH
PanWU01x14_015070.1	PanWU01x14_015070	Trihelix
PanWU01x14_015080.1	PanWU01x14_015080	LBD
PanWU01x14_015460.1	PanWU01x14_015460	LBD
PanWU01x14_017360.1	PanWU01x14_017360	NAC
PanWU01x14_017560.1	PanWU01x14_017560	Trihelix
PanWU01x14_018630.1	PanWU01x14_018630	LBD
PanWU01x14_021640.1	PanWU01x14_021640	NF-YC
PanWU01x14_022050.1	PanWU01x14_022050	LBD
PanWU01x14_022460.1	PanWU01x14_022460	TCP
PanWU01x14_022920.1	PanWU01x14_022920	VOZ
PanWU01x14_023230.1	PanWU01x14_023230	WRKY
PanWU01x14_023940.1	PanWU01x14_023940	NAC
PanWU01x14_024250.1	PanWU01x14_024250	bHLH
PanWU01x14_025810.1	PanWU01x14_025810	bHLH
PanWU01x14_027810.1	PanWU01x14_027810	LBD
PanWU01x14_027860.1	PanWU01x14_027860	NAC
PanWU01x14_028190.1	PanWU01x14_028190	bHLH
PanWU01x14_028330.1	PanWU01x14_028330	NAC
PanWU01x14_028770.1	PanWU01x14_028770	WRKY
