TF_ID	Gene_ID	Family
Potri.010G129200.1	Potri.010G129200	RAV
Potri.008G117100.1	Potri.008G117100	RAV
Potri.003G212800.1	Potri.003G212800	RAV
Potri.018G109200.1	Potri.018G109200	RAV
Potri.001G002400.1	Potri.001G002400	WRKY
Potri.001G004900.1	Potri.001G004900	bZIP
Potri.001G015900.1	Potri.001G015900	EIL
Potri.001G016000.1	Potri.001G016000	EIL
Potri.001G019200.1	Potri.001G019200	Trihelix
Potri.001G020200.1	Potri.001G020200	bZIP
Potri.001G023500.1	Potri.001G023500	GRAS
Potri.001G026000.1	Potri.001G026000	Trihelix
Potri.001G027700.1	Potri.001G027700	SRS
Potri.001G028400.1	Potri.001G028400	Trihelix
Potri.001G029800.1	Potri.001G029800	bZIP
Potri.001G029800.10	Potri.001G029800	bZIP
Potri.001G033200.1	Potri.001G033200	NF-YC
Potri.001G044500.1	Potri.001G044500	WRKY
Potri.001G053500.1	Potri.001G053500	GATA
Potri.001G055000.1	Potri.001G055000	NF-YC
Potri.001G055900.1	Potri.001G055900	SBP
Potri.001G057800.1	Potri.001G057800	CAMTA
Potri.001G058600.1	Potri.001G058600	SBP
Potri.001G058800.1	Potri.001G058800	WRKY
Potri.001G060000.1	Potri.001G060000	TCP
Potri.001G061200.1	Potri.001G061200	NAC
Potri.001G062900.1	Potri.001G062900	bHLH
Potri.001G063000.1	Potri.001G063000	bHLH
Potri.001G066900.1	Potri.001G066900	Trihelix
Potri.001G077900.1	Potri.001G077900	bZIP
Potri.001G080900.1	Potri.001G080900	NAC
Potri.001G081400.1	Potri.001G081400	LBD
Potri.001G083500.1	Potri.001G083500	bHLH
Potri.001G086400.1	Potri.001G086400	Dof
Potri.001G087900.1	Potri.001G087900	Nin-like
Potri.001G092900.1	Potri.001G092900	WRKY
Potri.001G099000.1	Potri.001G099000	WRKY
Potri.001G103600.1	Potri.001G103600	bHLH
Potri.001G106900.1	Potri.001G106900	NF-YC
Potri.001G108100.1	Potri.001G108100	HSF
Potri.001G109400.1	Potri.001G109400	GRAS
Potri.001G111800.1	Potri.001G111800	TCP
Potri.001G113400.1	Potri.001G113400	bHLH
Potri.001G113600.1	Potri.001G113600	Trihelix
Potri.001G120000.1	Potri.001G120000	NAC
Potri.001G120200.1	Potri.001G120200	YABBY
Potri.001G121300.1	Potri.001G121300	WRKY
Potri.001G122800.1	Potri.001G122800	GRAS
Potri.001G129900.1	Potri.001G129900	Trihelix
Potri.001G133900.1	Potri.001G133900	BBR-BPC
Potri.001G136000.1	Potri.001G136000	bZIP
Potri.001G138900.1	Potri.001G138900	HSF
Potri.001G141100.1	Potri.001G141100	bHLH
Potri.001G142200.1	Potri.001G142200	bHLH
Potri.001G144400.1	Potri.001G144400	NAC
Potri.001G150600.1	Potri.001G150600	Trihelix
Potri.001G151700.1	Potri.001G151700	GATA
Potri.001G168800.1	Potri.001G168800	GRAS
Potri.001G173600.1	Potri.001G173600	CPP
Potri.001G179800.1	Potri.001G179800	Trihelix
Potri.001G184800.1	Potri.001G184800	CPP
Potri.001G188500.1	Potri.001G188500	GATA
Potri.001G191800.1	Potri.001G191800	bHLH
Potri.001G196400.1	Potri.001G196400	LBD
Potri.001G201600.1	Potri.001G201600	FAR1
Potri.001G206900.1	Potri.001G206900	NAC
Potri.001G208600.1	Potri.001G208600	WRKY
Potri.001G214700.1	Potri.001G214700	YABBY
Potri.001G218800.1	Potri.001G218800	NAC
Potri.001G220500.1	Potri.001G220500	NAC
Potri.001G220700.1	Potri.001G220700	bZIP
Potri.001G225400.1	Potri.001G225400	NF-YC
Potri.001G238400.1	Potri.001G238400	Dof
Potri.001G241700.1	Potri.001G241700	GRAS
Potri.001G241800.1	Potri.001G241800	GRAS
Potri.001G241900.1	Potri.001G241900	GRAS
Potri.001G242000.1	Potri.001G242000	GRAS
Potri.001G242100.1	Potri.001G242100	GRAS
Potri.001G256600.1	Potri.001G256600	NAC
Potri.001G257600.1	Potri.001G257600	NF-YA
Potri.001G261700.1	Potri.001G261700	GeBP
Potri.001G266000.1	Potri.001G266000	NF-YA
Potri.001G270000.1	Potri.001G270000	bHLH
Potri.001G273700.1	Potri.001G273700	HSF
Potri.001G276200.1	Potri.001G276200	SRS
Potri.001G280300.1	Potri.001G280300	GRAS
Potri.001G281600.1	Potri.001G281600	LBD
Potri.001G287200.1	Potri.001G287200	bHLH
Potri.001G293300.1	Potri.001G293300	Nin-like
Potri.001G293900.1	Potri.001G293900	GeBP
Potri.001G294300.1	Potri.001G294300	bHLH
Potri.001G295700.1	Potri.001G295700	LBD
Potri.001G299300.1	Potri.001G299300	bHLH
Potri.001G305100.1	Potri.001G305100	bHLH
Potri.001G309100.1	Potri.001G309100	Trihelix
Potri.001G314400.1	Potri.001G314400	bHLH
Potri.001G320900.1	Potri.001G320900	HSF
Potri.001G325100.1	Potri.001G325100	NAC
Potri.001G326000.1	Potri.001G326000	GRAS
Potri.001G327100.1	Potri.001G327100	TCP
Potri.001G328000.1	Potri.001G328000	WRKY
Potri.001G343800.1	Potri.001G343800	NAC
Potri.001G345700.1	Potri.001G345700	LBD
Potri.001G352400.1	Potri.001G352400	WRKY
Potri.001G361600.1	Potri.001G361600	WRKY
Potri.001G361700.1	Potri.001G361700	GRAS
Potri.001G367500.1	Potri.001G367500	NF-YB
Potri.001G371300.1	Potri.001G371300	bZIP
Potri.001G372100.1	Potri.001G372100	NF-YA
Potri.001G372100.10	Potri.001G372100	NF-YA
Potri.001G372500.1	Potri.001G372500	BES1
Potri.001G374200.1	Potri.001G374200	bZIP
Potri.001G375800.1	Potri.001G375800	TCP
Potri.001G380900.1	Potri.001G380900	STAT
Potri.001G386900.1	Potri.001G386900	BES1
Potri.001G396300.1	Potri.001G396300	NAC
Potri.001G396400.1	Potri.001G396400	NAC
Potri.001G398200.1	Potri.001G398200	SBP
Potri.001G404100.1	Potri.001G404100	NAC
Potri.001G404400.1	Potri.001G404400	NAC
Potri.001G409000.1	Potri.001G409000	NZZ/SPL
Potri.001G409500.1	Potri.001G409500	GRAS
Potri.001G410600.1	Potri.001G410600	bHLH
Potri.001G414900.1	Potri.001G414900	NZZ/SPL
Potri.001G415200.1	Potri.001G415200	GRAS
Potri.001G416600.1	Potri.001G416600	bHLH
Potri.001G448400.1	Potri.001G448400	NAC
Potri.001G452700.1	Potri.001G452700	NAC
Potri.001G454500.1	Potri.001G454500	Trihelix
Potri.001G460600.1	Potri.001G460600	WRKY
Potri.001G461000.1	Potri.001G461000	bHLH
Potri.001G472800.1	Potri.001G472800	WRKY
Potri.001G473200.1	Potri.001G473200	GRAS
Potri.002G002400.1	Potri.002G002400	SBP
Potri.002G005800.1	Potri.002G005800	NAC
Potri.002G009700.1	Potri.002G009700	Nin-like
Potri.002G018400.1	Potri.002G018400	bZIP
Potri.002G023400.1	Potri.002G023400	E2F/DP
Potri.002G026700.1	Potri.002G026700	BBR-BPC
Potri.002G028500.1	Potri.002G028500	SRS
Potri.002G031900.1	Potri.002G031900	bZIP
Potri.002G032400.1	Potri.002G032400	bHLH
Potri.002G035200.1	Potri.002G035200	ZF-HD
Potri.002G036100.1	Potri.002G036100	GRAS
Potri.002G037100.1	Potri.002G037100	NAC
Potri.002G041100.1	Potri.002G041100	LBD
Potri.002G041200.1	Potri.002G041200	LBD
Potri.002G042000.1	Potri.002G042000	bHLH
Potri.002G043500.1	Potri.002G043500	WRKY
Potri.002G045400.1	Potri.002G045400	bHLH
Potri.002G045800.1	Potri.002G045800	bZIP
Potri.002G048200.1	Potri.002G048200	HSF
Potri.002G054100.1	Potri.002G054100	bHLH
Potri.002G055400.1	Potri.002G055400	bHLH
Potri.002G057200.1	Potri.002G057200	NAC
Potri.002G058800.1	Potri.002G058800	Nin-like
Potri.002G059100.1	Potri.002G059100	WRKY
Potri.002G061300.1	Potri.002G061300	NAC
Potri.002G067400.1	Potri.002G067400	bZIP
Potri.002G068400.1	Potri.002G068400	Trihelix
Potri.002G068600.1	Potri.002G068600	Trihelix
Potri.002G068700.1	Potri.002G068700	Trihelix
Potri.002G069500.1	Potri.002G069500	bZIP
Potri.002G070700.1	Potri.002G070700	Dof
Potri.002G073400.1	Potri.002G073400	GRAS
Potri.002G081000.1	Potri.002G081000	NAC
Potri.002G086100.1	Potri.002G086100	GRAS
Potri.002G090700.1	Potri.002G090700	bZIP
Potri.002G090800.1	Potri.002G090800	bZIP
Potri.002G100100.1	Potri.002G100100	bHLH
Potri.002G101900.1	Potri.002G101900	bHLH
Potri.002G102900.1	Potri.002G102900	ZF-HD
Potri.002G105300.1	Potri.002G105300	bHLH
Potri.002G108400.1	Potri.002G108400	bHLH
Potri.002G110800.1	Potri.002G110800	GATA
Potri.002G110900.1	Potri.002G110900	GATA
Potri.002G114700.1	Potri.002G114700	bHLH
Potri.002G115900.1	Potri.002G115900	bZIP
Potri.002G119200.1	Potri.002G119200	bHLH
Potri.002G119400.1	Potri.002G119400	LBD
Potri.002G123300.1	Potri.002G123300	WRKY
Potri.002G124400.1	Potri.002G124400	bHLH
Potri.002G124800.1	Potri.002G124800	HSF
Potri.002G125000.1	Potri.002G125000	bHLH
Potri.002G125400.1	Potri.002G125400	bZIP
Potri.002G129600.1	Potri.002G129600	Dof
Potri.002G133700.1	Potri.002G133700	BES1
Potri.002G138900.1	Potri.002G138900	WRKY
Potri.002G139500.1	Potri.002G139500	Trihelix
Potri.002G142200.1	Potri.002G142200	SBP
Potri.002G142400.1	Potri.002G142400	SBP
Potri.002G142800.1	Potri.002G142800	GATA
Potri.002G143300.1	Potri.002G143300	bHLH
Potri.002G144200.1	Potri.002G144200	GRAS
Potri.002G144700.1	Potri.002G144700	GRAS
Potri.002G145100.1	Potri.002G145100	YABBY
Potri.002G148900.1	Potri.002G148900	LBD
Potri.002G149000.1	Potri.002G149000	LBD
Potri.002G152200.1	Potri.002G152200	TCP
Potri.002G154000.1	Potri.002G154000	NAC
Potri.002G154100.1	Potri.002G154100	NAC
Potri.002G154200.1	Potri.002G154200	NAC
Potri.002G159300.1	Potri.002G159300	BES1
Potri.002G159400.1	Potri.002G159400	bHLH
Potri.002G164400.1	Potri.002G164400	WRKY
Potri.002G164900.1	Potri.002G164900	WRKY
Potri.002G167100.1	Potri.002G167100	bZIP
Potri.002G168700.1	Potri.002G168700	WRKY
Potri.002G172100.1	Potri.002G172100	bHLH
Potri.002G174300.1	Potri.002G174300	Dof
Potri.002G176900.1	Potri.002G176900	bHLH
Potri.002G178700.1	Potri.002G178700	NAC
Potri.002G180300.1	Potri.002G180300	bHLH
Potri.002G181900.1	Potri.002G181900	NAC
Potri.002G182000.1	Potri.002G182000	NAC
Potri.002G182300.1	Potri.002G182300	NAC
Potri.002G182400.1	Potri.002G182400	NAC
Potri.002G186600.1	Potri.002G186600	WRKY
Potri.002G188700.1	Potri.002G188700	SBP
Potri.002G193000.1	Potri.002G193000	WRKY
Potri.002G195300.1	Potri.002G195300	WRKY
Potri.002G195600.1	Potri.002G195600	GRAS
Potri.002G196200.1	Potri.002G196200	bZIP
Potri.002G199300.1	Potri.002G199300	FAR1
Potri.002G199800.1	Potri.002G199800	GATA
Potri.002G221600.1	Potri.002G221600	WRKY
Potri.002G228400.1	Potri.002G228400	WRKY
Potri.002G231700.1	Potri.002G231700	bHLH
Potri.002G235400.1	Potri.002G235400	bHLH
Potri.002G239300.1	Potri.002G239300	FAR1
Potri.002G239400.1	Potri.002G239400	FAR1
Potri.002G243300.1	Potri.002G243300	Trihelix
Potri.002G248500.1	Potri.002G248500	bHLH
Potri.002G252800.1	Potri.002G252800	bHLH
Potri.003G000400.1	Potri.003G000400	ZF-HD
Potri.003G014500.1	Potri.003G014500	bZIP
Potri.003G022800.1	Potri.003G022800	NAC
Potri.003G026600.1	Potri.003G026600	BES1
Potri.003G031200.1	Potri.003G031200	FAR1
Potri.003G031400.1	Potri.003G031400	FAR1
Potri.003G034200.1	Potri.003G034200	Dof
Potri.003G037300.1	Potri.003G037300	LBD
Potri.003G039700.1	Potri.003G039700	LBD
Potri.003G046700.1	Potri.003G046700	NAC
Potri.003G048700.1	Potri.003G048700	Whirly
Potri.003G051600.1	Potri.003G051600	bHLH
Potri.003G056000.1	Potri.003G056000	Trihelix
Potri.003G060400.1	Potri.003G060400	CPP
Potri.003G065400.1	Potri.003G065400	GRAS
Potri.003G074400.1	Potri.003G074400	bHLH
Potri.003G082800.1	Potri.003G082800	GATA
Potri.003G083800.1	Potri.003G083800	Trihelix
Potri.003G089800.1	Potri.003G089800	NAC
