	Family	Source	orthogroup	species
AT3G25730	RAV	TFDB	1899	arath
AT1G68840	RAV	TFDB	1899	arath
AT1G13260	RAV	TFDB	1899	arath
AT1G25560	RAV	TFDB	1899	arath
AT1G50680	RAV	TFDB	3899	arath
AT1G51120	RAV	TFDB	3899	arath
AT1G01010	NAC	TFDB	32820	arath
AT1G01260	bHLH	TFDB	5587	arath
AT1G01720	NAC	TFDB	7060	arath
AT1G02065	SBP	TFDB	5764	arath
AT1G02210	NAC	TFDB	32950	arath
AT1G02220	NAC	TFDB	31954	arath
AT1G02230	NAC	TFDB	32982	arath
AT1G02250	NAC	TFDB	32206	arath
AT1G02340	bHLH	TFDB	32311	arath
AT1G03040	bHLH	TFDB	6667	arath
AT1G03490	NAC	TFDB	32541	arath
AT1G03970	bZIP	TFDB	10525	arath
AT1G05710	bHLH	TFDB	None	arath
AT1G05805	bHLH	TFDB	6423	arath
AT1G06070	bZIP	TFDB	3506	arath
AT1G06170	bHLH	TFDB	3545	arath
AT1G06280	LBD	TFDB	8398	arath
AT1G06850	bZIP	TFDB	2309	arath
AT1G07520	GRAS	TFDB	250	arath
AT1G07530	GRAS	TFDB	250	arath
AT1G07640	Dof	TFDB	20884	arath
AT1G07900	LBD	TFDB	949	arath
AT1G07980	NF-YC	TFDB	13800	arath
AT1G08000	GATA	TFDB	18633	arath
AT1G08010	GATA	TFDB	18633	arath
AT1G08320	bZIP	TFDB	2127	arath
AT1G08465	YABBY	TFDB	3821	arath
AT1G08970	NF-YC	TFDB	1376	arath
AT1G09030	NF-YB	TFDB	381	arath
AT1G09530	bHLH	TFDB	2413	arath
AT1G10120	bHLH	TFDB	3172	arath
AT1G10170	NF-X1	TFDB	4641	arath
AT1G10240	FAR1	TFDB	2425	arath
AT1G10585	bHLH	TFDB	20950	arath
AT1G10586	bHLH	TFDB	20950	arath
AT1G10610	bHLH	TFDB	14804	arath
AT1G11510	GeBP	TFDB	606	arath
AT1G12260	NAC	TFDB	1107	arath
AT1G12540	bHLH	TFDB	32412	arath
AT1G12860	bHLH	TFDB	3846	arath
AT1G13450	Trihelix	TFDB	7043	arath
AT1G13600	bZIP	TFDB	833	arath
AT1G13960	WRKY	TFDB	4245	arath
AT1G14410	Whirly	TFDB	4374	arath
AT1G14440	ZF-HD	TFDB	5143	arath
AT1G14685	BBR-BPC	TFDB	3047	arath
AT1G14687	ZF-HD	TFDB	6961	arath
AT1G14920	GRAS	TFDB	9580	arath
AT1G15790	bHLH	TFDB	1519	arath
AT1G16530	LBD	TFDB	32350	arath
AT1G17040	STAT	TFDB	7029	arath
AT1G17590	NF-YA	TFDB	6875	arath
AT1G18400	bHLH	TFDB	3782	arath
AT1G18790	Nin-like	TFDB	10228	arath
AT1G18835	ZF-HD	TFDB	1918	arath
AT1G18860	WRKY	TFDB	1912	arath
AT1G19040	NAC	TFDB	32479	arath
AT1G19350	BES1	TFDB	4732	arath
AT1G19490	bZIP	TFDB	5776	arath
AT1G19790	SRS	TFDB	1366	arath
AT1G20640	Nin-like	TFDB	6929	arath
AT1G20980	SBP	TFDB	6950	arath
AT1G21200	Trihelix	TFDB	6880	arath
AT1G21340	Dof	TFDB	4691	arath
AT1G21450	GRAS	TFDB	2772	arath
AT1G21970	NF-YB	TFDB	12288	arath
AT1G22070	bZIP	TFDB	1097	arath
AT1G22490	bHLH	TFDB	3864	arath
AT1G23420	YABBY	TFDB	3260	arath
AT1G25310	bHLH	TFDB	32240	arath
AT1G25330	bHLH	TFDB	17509	arath
AT1G25580	NAC	TFDB	4736	arath
AT1G26260	bHLH	TFDB	3875	arath
AT1G26790	Dof	TFDB	32128	arath
AT1G26870	NAC	TFDB	1673	arath
AT1G26945	bHLH	TFDB	1669	arath
AT1G27360	SBP	TFDB	2411	arath
AT1G27370	SBP	TFDB	2411	arath
AT1G27660	bHLH	TFDB	10182	arath
AT1G27740	bHLH	TFDB	3921	arath
AT1G28310	Dof	TFDB	3929	arath
AT1G28470	NAC	TFDB	663	arath
AT1G28520	VOZ	TFDB	8388	arath
AT1G29160	Dof	TFDB	4252	arath
AT1G29280	WRKY	TFDB	4640	arath
AT1G29860	WRKY	TFDB	4505	arath
AT1G29950	bHLH	TFDB	4646	arath
AT1G30210	TCP	TFDB	3684	arath
AT1G30500	NF-YA	TFDB	3571	arath
AT1G30650	WRKY	TFDB	3556	arath
AT1G30670	bHLH	TFDB	6400	arath
AT1G31050	bHLH	TFDB	8549	arath
AT1G31310	Trihelix	TFDB	11751	arath
AT1G31320	LBD	TFDB	6916	arath
AT1G32150	bZIP	TFDB	3002	arath
AT1G32330	HSF	TFDB	8671	arath
AT1G32510	NAC	TFDB	32338	arath
AT1G32640	bHLH	TFDB	3703	arath
AT1G32730	SRS	TFDB	10157	arath
AT1G32770	NAC	TFDB	2317	arath
AT1G32870	NAC	TFDB	33007	arath
AT1G33060	NAC	TFDB	14738	arath
AT1G33240	Trihelix	TFDB	12461	arath
AT1G33280	NAC	TFDB	10088	arath
AT1G34180	NAC	TFDB	6962	arath
AT1G34190	NAC	TFDB	6962	arath
AT1G35460	bHLH	TFDB	11980	arath
AT1G35560	TCP	TFDB	2430	arath
AT1G36000	LBD	TFDB	18611	arath
AT1G42990	bZIP	TFDB	8601	arath
AT1G43700	bZIP	TFDB	7044	arath
AT1G44810	GeBP	TFDB	606	arath
AT1G45249	bZIP	TFDB	860	arath
AT1G46264	HSF	TFDB	4586	arath
AT1G47655	Dof	TFDB	16680	arath
AT1G47870	E2F/DP	TFDB	16026	arath
AT1G49720	bZIP	TFDB	860	arath
AT1G49770	bHLH	TFDB	6786	arath
AT1G50420	GRAS	TFDB	2433	arath
AT1G50600	GRAS	TFDB	32319	arath
AT1G51070	bHLH	TFDB	32644	arath
AT1G51140	bHLH	TFDB	2737	arath
AT1G51600	GATA	TFDB	3868	arath
AT1G51700	Dof	TFDB	3261	arath
AT1G52520	FAR1	TFDB	16035	arath
AT1G52880	NAC	TFDB	5737	arath
AT1G52890	NAC	TFDB	2679	arath
AT1G53160	SBP	TFDB	2143	arath
AT1G53230	TCP	TFDB	6890	arath
AT1G54060	Trihelix	TFDB	7040	arath
AT1G54160	NF-YA	TFDB	20977	arath
AT1G54330	NAC	TFDB	12305	arath
AT1G54830	NF-YC	TFDB	1376	arath
AT1G55580	GRAS	TFDB	13757	arath
AT1G55600	WRKY	TFDB	32343	arath
AT1G55950	GeBP	TFDB	606	arath
AT1G56010	NAC	TFDB	10338	arath
AT1G56170	NF-YC	TFDB	4723	arath
AT1G58100	TCP	TFDB	2430	arath
AT1G58110	bZIP	TFDB	5654	arath
AT1G59530	bZIP	TFDB	10191	arath
AT1G59640	bHLH	TFDB	888	arath
AT1G60240	NAC	TFDB	32882	arath
AT1G60280	NAC	TFDB	31818	arath
AT1G60300	NAC	TFDB	32543	arath
AT1G60340	NAC	TFDB	32686	arath
AT1G60350	NAC	TFDB	31897	arath
AT1G60380	NAC	TFDB	32631	arath
AT1G61110	NAC	TFDB	12449	arath
AT1G61660	bHLH	TFDB	3809	arath
AT1G61730	GeBP	TFDB	606	arath
AT1G62300	WRKY	TFDB	3732	arath
AT1G62700	NAC	TFDB	1107	arath
AT1G62975	bHLH	TFDB	32896	arath
AT1G63100	GRAS	TFDB	10308	arath
AT1G63650	bHLH	TFDB	6939	arath
AT1G64000	WRKY	TFDB	1814	arath
AT1G64105	NAC	TFDB	32587	arath
AT1G64530	Nin-like	TFDB	3685	arath
AT1G64620	Dof	TFDB	437	arath
AT1G65620	LBD	TFDB	10341	arath
AT1G65910	NAC	TFDB	6855	arath
AT1G66350	GRAS	TFDB	3893	arath
AT1G66420	GeBP	TFDB	606	arath
AT1G66470	bHLH	TFDB	3932	arath
