TF_ID	Gene_ID	Family
Medtr1g093600.1	Medtr1g093600	RAV
Medtr5g053920.1	Medtr5g053920	RAV
Medtr1g116920.1	Medtr1g116920	RAV
Medtr0002s1250.1	Medtr0002s1250	WRKY
Medtr0005s0250.1	Medtr0005s0250	bZIP
Medtr0007s0220.1	Medtr0007s0220	Trihelix
Medtr0007s0330.1	Medtr0007s0330	bHLH
Medtr0007s0380.1	Medtr0007s0380	bHLH
Medtr0011s0210.1	Medtr0011s0210	bHLH
Medtr0011s0260.1	Medtr0011s0260	bHLH
Medtr0014s0410.1	Medtr0014s0410	bZIP
Medtr0020s0020.1	Medtr0020s0020	HSF
Medtr0022s0430.1	Medtr0022s0430	Nin-like
Medtr0036s0150.1	Medtr0036s0150	NAC
Medtr0060s0090.1	Medtr0060s0090	FAR1
Medtr0092s0100.1	Medtr0092s0100	GRAS
Medtr0105s0070.1	Medtr0105s0070	SRS
Medtr0117s0040.1	Medtr0117s0040	WRKY
Medtr0126s0080.1	Medtr0126s0080	bZIP
Medtr0130s0060.1	Medtr0130s0060	WRKY
Medtr0137s0040.1	Medtr0137s0040	FAR1
Medtr0140s0010.1	Medtr0140s0010	Nin-like
Medtr0194s0050.1	Medtr0194s0050	bHLH
Medtr0246s0020.1	Medtr0246s0020	bHLH
Medtr0246s0050.1	Medtr0246s0050	bHLH
Medtr0250s0040.1	Medtr0250s0040	bHLH
Medtr0363s0040.1	Medtr0363s0040	SRS
Medtr0389s0010.1	Medtr0389s0010	bZIP
Medtr0392s0020.1	Medtr0392s0020	NF-YB
Medtr0402s0040.1	Medtr0402s0040	FAR1
Medtr0558s0020.1	Medtr0558s0020	FAR1
Medtr0604s0020.1	Medtr0604s0020	FAR1
Medtr0632s0010.1	Medtr0632s0010	bHLH
Medtr0853s0010.1	Medtr0853s0010	FAR1
Medtr0856s0010.1	Medtr0856s0010	FAR1
Medtr1281s0010.1	Medtr1281s0010	FAR1
Medtr1g006650.1	Medtr1g006650	GATA
Medtr1g008290.1	Medtr1g008290	FAR1
Medtr1g008740.1	Medtr1g008740	NAC
Medtr1g008990.1	Medtr1g008990	bZIP
Medtr1g009220.1	Medtr1g009220	Trihelix
Medtr1g009613.1	Medtr1g009613	WRKY
Medtr1g012020.1	Medtr1g012020	CPP
Medtr1g012760.1	Medtr1g012760	FAR1
Medtr1g013060.1	Medtr1g013060	FAR1
Medtr1g013760.1	Medtr1g013760	WRKY
Medtr1g013790.1	Medtr1g013790	WRKY
Medtr1g015140.1	Medtr1g015140	WRKY
Medtr1g015990.1	Medtr1g015990	EIL
Medtr1g016170.1	Medtr1g016170	GATA
Medtr1g016200.1	Medtr1g016200	GATA
Medtr1g017350.1	Medtr1g017350	bHLH
Medtr1g017570.1	Medtr1g017570	bZIP
Medtr1g018090.1	Medtr1g018090	bHLH
Medtr1g019240.1	Medtr1g019240	bHLH
Medtr1g019850.1	Medtr1g019850	FAR1
Medtr1g021990.1	Medtr1g021990	BES1
Medtr1g022495.1	Medtr1g022495	bZIP
Medtr1g023230.1	Medtr1g023230	SRS
Medtr1g023660.1	Medtr1g023660	BBR-BPC
Medtr1g023690.1	Medtr1g023690	bZIP
Medtr1g024420.1	Medtr1g024420	EIL
Medtr1g028470.1	Medtr1g028470	bHLH
Medtr1g028480.1	Medtr1g028480	NF-YB
Medtr1g029070.1	Medtr1g029070	NF-YB
Medtr1g029100.1	Medtr1g029100	NF-YB
Medtr1g029420.1	Medtr1g029420	GRAS
Medtr1g032600.1	Medtr1g032600	bHLH
Medtr1g034500.1	Medtr1g034500	bZIP
Medtr1g035010.1	Medtr1g035010	SBP
Medtr1g037650.1	Medtr1g037650	Trihelix
Medtr1g038650.1	Medtr1g038650	TCP
Medtr1g039040.1	Medtr1g039040	NF-YB
Medtr1g040435.1	Medtr1g040435	bHLH
Medtr1g043430.1	Medtr1g043430	bHLH
Medtr1g045040.1	Medtr1g045040	GATA
Medtr1g045470.1	Medtr1g045470	NAC
Medtr1g046680.1	Medtr1g046680	GATA
Medtr1g048330.1	Medtr1g048330	bHLH
Medtr1g048710.1	Medtr1g048710	bHLH
Medtr1g048720.1	Medtr1g048720	bHLH
Medtr1g048750.1	Medtr1g048750	bHLH
Medtr1g050502.1	Medtr1g050502	bZIP
Medtr1g050985.1	Medtr1g050985	FAR1
Medtr1g052260.1	Medtr1g052260	FAR1
Medtr1g052470.1	Medtr1g052470	bHLH
Medtr1g053575.1	Medtr1g053575	NAC
Medtr1g053715.1	Medtr1g053715	SBP
Medtr1g055240.1	Medtr1g055240	FAR1
Medtr1g055265.1	Medtr1g055265	Dof
Medtr1g056530.1	Medtr1g056530	NF-YA
Medtr1g056700.1	Medtr1g056700	bHLH
Medtr1g056810.1	Medtr1g056810	Dof
Medtr1g057920.1	Medtr1g057920	FAR1
Medtr1g059270.1	Medtr1g059270	bHLH
Medtr1g059880.1	Medtr1g059880	FAR1
Medtr1g060700.1	Medtr1g060700	bHLH
Medtr1g060990.1	Medtr1g060990	Trihelix
Medtr1g061600.1	Medtr1g061600	Trihelix
Medtr1g061640.1	Medtr1g061640	Trihelix
Medtr1g063870.1	Medtr1g063870	TCP
Medtr1g069025.1	Medtr1g069025	Nin-like
Medtr1g069155.1	Medtr1g069155	bHLH
Medtr1g069725.1	Medtr1g069725	GRAS
Medtr1g069805.1	Medtr1g069805	NAC
Medtr1g070205.1	Medtr1g070205	LBD
Medtr1g070220.1	Medtr1g070220	LBD
Medtr1g070355.1	Medtr1g070355	FAR1
Medtr1g070455.1	Medtr1g070455	WRKY
Medtr1g070870.1	Medtr1g070870	bHLH
Medtr1g071360.1	Medtr1g071360	HSF
Medtr1g072320.1	Medtr1g072320	bHLH
Medtr1g072530.1	Medtr1g072530	bHLH
Medtr1g072790.1	Medtr1g072790	NF-YB
Medtr1g077020.1	Medtr1g077020	ZF-HD
Medtr1g077600.1	Medtr1g077600	Dof
Medtr1g077640.1	Medtr1g077640	bHLH
Medtr1g077760.1	Medtr1g077760	WRKY
Medtr1g077780.1	Medtr1g077780	WRKY
Medtr1g078260.1	Medtr1g078260	WRKY
Medtr1g080890.1	Medtr1g080890	bHLH
Medtr1g080920.1	Medtr1g080920	bZIP
Medtr1g081180.1	Medtr1g081180	Trihelix
Medtr1g081560.1	Medtr1g081560	GeBP
Medtr1g081570.1	Medtr1g081570	GeBP
Medtr1g081580.1	Medtr1g081580	GeBP
Medtr1g082480.1	Medtr1g082480	bHLH
Medtr1g082660.1	Medtr1g082660	NF-YC
Medtr1g083070.1	Medtr1g083070	NF-YB
Medtr1g083640.1	Medtr1g083640	FAR1
Medtr1g084980.1	Medtr1g084980	bHLH
Medtr1g086250.1	Medtr1g086250	SBP
Medtr1g086790.1	Medtr1g086790	WRKY
Medtr1g086970.1	Medtr1g086970	GRAS
Medtr1g087040.1	Medtr1g087040	bZIP
Medtr1g087190.1	Medtr1g087190	NAC
Medtr1g088860.1	Medtr1g088860	NF-YB
Medtr1g089830.1	Medtr1g089830	GATA
Medtr1g090720.1	Medtr1g090720	NAC
Medtr1g090723.1	Medtr1g090723	NAC
Medtr1g091013.1	Medtr1g091013	FAR1
Medtr1g093670.1	Medtr1g093670	NAC
Medtr1g093680.1	Medtr1g093680	NAC
Medtr1g093750.1	Medtr1g093750	bHLH
Medtr1g094045.1	Medtr1g094045	Trihelix
Medtr1g094085.1	Medtr1g094085	bHLH
Medtr1g094930.1	Medtr1g094930	GATA
Medtr1g095850.1	Medtr1g095850	LBD
Medtr1g096030.1	Medtr1g096030	GRAS
Medtr1g096430.1	Medtr1g096430	NAC
Medtr1g097300.1	Medtr1g097300	NAC
Medtr1g098590.1	Medtr1g098590	bZIP
Medtr1g098870.1	Medtr1g098870	Trihelix
Medtr1g098900.1	Medtr1g098900	Trihelix
Medtr1g098920.1	Medtr1g098920	Trihelix
Medtr1g099140.1	Medtr1g099140	FAR1
Medtr1g099600.1	Medtr1g099600	WRKY
