TF_ID	Family	Gene_ID	Orthogroup	Source	Species
Medtr1g093600.1	RAV	Medtr1g093600	OG0002806	TFDB	medtr
Medtr5g053920.1	RAV	Medtr5g053920	OG0002806	TFDB	medtr
Medtr1g116920.1	RAV	Medtr1g116920	OG0003461	TFDB	medtr
Medtr0002s1250.1	WRKY	Medtr0002s1250	OG0000925	TFDB	medtr
Medtr0005s0250.1	bZIP	Medtr0005s0250	OG0000170	TFDB	medtr
Medtr0007s0220.1	Trihelix	Medtr0007s0220	OG0011702	TFDB	medtr
Medtr0007s0330.1	bHLH	Medtr0007s0330	OG0000788	TFDB	medtr
Medtr0007s0380.1	bHLH	Medtr0007s0380	OG0000788	TFDB	medtr
Medtr0011s0210.1	bHLH	Medtr0011s0210	OG0005355	TFDB	medtr
Medtr0011s0260.1	bHLH	Medtr0011s0260	OG0005355	TFDB	medtr
Medtr0014s0410.1	bZIP	Medtr0014s0410	OG0000170	TFDB	medtr
Medtr0020s0020.1	HSF	Medtr0020s0020	OG0001564	TFDB	medtr
Medtr0022s0430.1	Nin-like	Medtr0022s0430	OG0003163	TFDB	medtr
Medtr0036s0150.1	NAC	Medtr0036s0150	OG0004927	TFDB	medtr
Medtr0060s0090.1	FAR1	Medtr0060s0090	OG0002481	TFDB	medtr
Medtr0092s0100.1	GRAS	Medtr0092s0100	OG0002395	TFDB	medtr
Medtr0105s0070.1	SRS	Medtr0105s0070	None	TFDB	medtr
Medtr0117s0040.1	WRKY	Medtr0117s0040	None	TFDB	medtr
Medtr0126s0080.1	bZIP	Medtr0126s0080	OG0004469	TFDB	medtr
Medtr0130s0060.1	WRKY	Medtr0130s0060	None	TFDB	medtr
Medtr0137s0040.1	FAR1	Medtr0137s0040	OG0000923	TFDB	medtr
Medtr0140s0010.1	Nin-like	Medtr0140s0010	OG0003947	TFDB	medtr
Medtr0194s0050.1	bHLH	Medtr0194s0050	OG0011000	TFDB	medtr
Medtr0246s0020.1	bHLH	Medtr0246s0020	OG0005355	TFDB	medtr
Medtr0246s0050.1	bHLH	Medtr0246s0050	OG0005355	TFDB	medtr
Medtr0250s0040.1	bHLH	Medtr0250s0040	OG0000482	TFDB	medtr
Medtr0363s0040.1	SRS	Medtr0363s0040	OG0005026	TFDB	medtr
Medtr0389s0010.1	bZIP	Medtr0389s0010	None	TFDB	medtr
Medtr0392s0020.1	NF-YB	Medtr0392s0020	OG0000523	TFDB	medtr
Medtr0402s0040.1	FAR1	Medtr0402s0040	OG0000923	TFDB	medtr
Medtr0558s0020.1	FAR1	Medtr0558s0020	OG0005365	TFDB	medtr
Medtr0604s0020.1	FAR1	Medtr0604s0020	OG0002481	TFDB	medtr
Medtr0632s0010.1	bHLH	Medtr0632s0010	None	TFDB	medtr
Medtr0853s0010.1	FAR1	Medtr0853s0010	OG0014180	TFDB	medtr
Medtr0856s0010.1	FAR1	Medtr0856s0010	OG0012124	TFDB	medtr
Medtr1281s0010.1	FAR1	Medtr1281s0010	OG0005365	TFDB	medtr
Medtr1g006650.1	GATA	Medtr1g006650	OG0001409	TFDB	medtr
Medtr1g008290.1	FAR1	Medtr1g008290	OG0000667	TFDB	medtr
Medtr1g008740.1	NAC	Medtr1g008740	OG0005795	TFDB	medtr
Medtr1g008990.1	bZIP	Medtr1g008990	OG0006273	TFDB	medtr
Medtr1g009220.1	Trihelix	Medtr1g009220	OG0007309	TFDB	medtr
Medtr1g009613.1	WRKY	Medtr1g009613	OG0001379	TFDB	medtr
Medtr1g012020.1	CPP	Medtr1g012020	OG0009743	TFDB	medtr
Medtr1g012760.1	FAR1	Medtr1g012760	OG0002005	TFDB	medtr
Medtr1g013060.1	FAR1	Medtr1g013060	OG0014104	TFDB	medtr
Medtr1g013760.1	WRKY	Medtr1g013760	OG0000953	TFDB	medtr
Medtr1g013790.1	WRKY	Medtr1g013790	OG0004477	TFDB	medtr
Medtr1g015140.1	WRKY	Medtr1g015140	OG0001185	TFDB	medtr
Medtr1g015990.1	EIL	Medtr1g015990	None	TFDB	medtr
Medtr1g016170.1	GATA	Medtr1g016170	OG0001179	TFDB	medtr
Medtr1g016200.1	GATA	Medtr1g016200	None	TFDB	medtr
Medtr1g017350.1	bHLH	Medtr1g017350	OG0004703	TFDB	medtr
Medtr1g017570.1	bZIP	Medtr1g017570	OG0008017	TFDB	medtr
Medtr1g018090.1	bHLH	Medtr1g018090	OG0000610	TFDB	medtr
Medtr1g019240.1	bHLH	Medtr1g019240	OG0002713	TFDB	medtr
Medtr1g019850.1	FAR1	Medtr1g019850	OG0014180	TFDB	medtr
Medtr1g021990.1	BES1	Medtr1g021990	OG0014350	TFDB	medtr
Medtr1g022495.1	bZIP	Medtr1g022495	OG0000578	TFDB	medtr
Medtr1g023230.1	SRS	Medtr1g023230	None	TFDB	medtr
Medtr1g023660.1	BBR-BPC	Medtr1g023660	OG0009382	TFDB	medtr
Medtr1g023690.1	bZIP	Medtr1g023690	OG0016341	TFDB	medtr
Medtr1g024420.1	EIL	Medtr1g024420	None	TFDB	medtr
Medtr1g028470.1	bHLH	Medtr1g028470	OG0005171	TFDB	medtr
Medtr1g028480.1	NF-YB	Medtr1g028480	None	TFDB	medtr
Medtr1g029070.1	NF-YB	Medtr1g029070	None	TFDB	medtr
Medtr1g029100.1	NF-YB	Medtr1g029100	None	TFDB	medtr
Medtr1g029420.1	GRAS	Medtr1g029420	OG0004648	TFDB	medtr
Medtr1g032600.1	bHLH	Medtr1g032600	OG0001401	TFDB	medtr
Medtr1g034500.1	bZIP	Medtr1g034500	OG0015107	TFDB	medtr
Medtr1g035010.1	SBP	Medtr1g035010	OG0006473	TFDB	medtr
Medtr1g037650.1	Trihelix	Medtr1g037650	OG0004975	TFDB	medtr
Medtr1g038650.1	TCP	Medtr1g038650	OG0005166	TFDB	medtr
Medtr1g039040.1	NF-YB	Medtr1g039040	OG0003194	TFDB	medtr
Medtr1g040435.1	bHLH	Medtr1g040435	OG0009622	TFDB	medtr
Medtr1g043430.1	bHLH	Medtr1g043430	OG0007165	TFDB	medtr
Medtr1g045040.1	GATA	Medtr1g045040	OG0014197	TFDB	medtr
Medtr1g045470.1	NAC	Medtr1g045470	OG0000323	TFDB	medtr
Medtr1g046680.1	GATA	Medtr1g046680	OG0008834	TFDB	medtr
Medtr1g048330.1	bHLH	Medtr1g048330	None	TFDB	medtr
Medtr1g048710.1	bHLH	Medtr1g048710	OG0001683	TFDB	medtr
Medtr1g048720.1	bHLH	Medtr1g048720	OG0001683	TFDB	medtr
Medtr1g048750.1	bHLH	Medtr1g048750	OG0001683	TFDB	medtr
Medtr1g050502.1	bZIP	Medtr1g050502	OG0003199	TFDB	medtr
Medtr1g050985.1	FAR1	Medtr1g050985	None	TFDB	medtr
Medtr1g052260.1	FAR1	Medtr1g052260	OG0002481	TFDB	medtr
Medtr1g052470.1	bHLH	Medtr1g052470	OG0004763	TFDB	medtr
Medtr1g053575.1	NAC	Medtr1g053575	OG0000323	TFDB	medtr
Medtr1g053715.1	SBP	Medtr1g053715	OG0004089	TFDB	medtr
Medtr1g055240.1	FAR1	Medtr1g055240	OG0005365	TFDB	medtr
Medtr1g055265.1	Dof	Medtr1g055265	None	TFDB	medtr
Medtr1g056530.1	NF-YA	Medtr1g056530	OG0003683	TFDB	medtr
Medtr1g056700.1	bHLH	Medtr1g056700	None	TFDB	medtr
Medtr1g056810.1	Dof	Medtr1g056810	OG0005918	TFDB	medtr
Medtr1g057920.1	FAR1	Medtr1g057920	OG0000923	TFDB	medtr
Medtr1g059270.1	bHLH	Medtr1g059270	OG0004139	TFDB	medtr
Medtr1g059880.1	FAR1	Medtr1g059880	None	TFDB	medtr
Medtr1g060700.1	bHLH	Medtr1g060700	OG0002871	TFDB	medtr
Medtr1g060990.1	Trihelix	Medtr1g060990	OG0002399	TFDB	medtr
Medtr1g061600.1	Trihelix	Medtr1g061600	OG0011012	TFDB	medtr
Medtr1g061640.1	Trihelix	Medtr1g061640	OG0005031	TFDB	medtr
Medtr1g063870.1	TCP	Medtr1g063870	OG0008596	TFDB	medtr
Medtr1g069025.1	Nin-like	Medtr1g069025	OG0006293	TFDB	medtr
Medtr1g069155.1	bHLH	Medtr1g069155	OG0005688	TFDB	medtr
Medtr1g069725.1	GRAS	Medtr1g069725	OG0013541	TFDB	medtr
Medtr1g069805.1	NAC	Medtr1g069805	OG0006053	TFDB	medtr
Medtr1g070205.1	LBD	Medtr1g070205	OG0003223	TFDB	medtr
Medtr1g070220.1	LBD	Medtr1g070220	OG0004092	TFDB	medtr
Medtr1g070355.1	FAR1	Medtr1g070355	OG0015646	TFDB	medtr
Medtr1g070455.1	WRKY	Medtr1g070455	OG0003604	TFDB	medtr
Medtr1g070870.1	bHLH	Medtr1g070870	OG0004611	TFDB	medtr
Medtr1g071360.1	HSF	Medtr1g071360	None	TFDB	medtr
Medtr1g072320.1	bHLH	Medtr1g072320	OG0006027	TFDB	medtr
Medtr1g072530.1	bHLH	Medtr1g072530	OG0014383	TFDB	medtr
Medtr1g072790.1	NF-YB	Medtr1g072790	OG0002363	TFDB	medtr
Medtr1g077020.1	ZF-HD	Medtr1g077020	OG0003473	TFDB	medtr
Medtr1g077600.1	Dof	Medtr1g077600	OG0000732	TFDB	medtr
Medtr1g077640.1	bHLH	Medtr1g077640	OG0004638	TFDB	medtr
Medtr1g077760.1	WRKY	Medtr1g077760	None	TFDB	medtr
Medtr1g077780.1	WRKY	Medtr1g077780	None	TFDB	medtr
Medtr1g078260.1	WRKY	Medtr1g078260	None	TFDB	medtr
Medtr1g080890.1	bHLH	Medtr1g080890	OG0012017	TFDB	medtr
Medtr1g080920.1	bZIP	Medtr1g080920	OG0001735	TFDB	medtr
Medtr1g081180.1	Trihelix	Medtr1g081180	OG0005268	TFDB	medtr
Medtr1g081560.1	GeBP	Medtr1g081560	OG0016307	TFDB	medtr
Medtr1g081570.1	GeBP	Medtr1g081570	OG0003693	TFDB	medtr
Medtr1g081580.1	GeBP	Medtr1g081580	OG0003693	TFDB	medtr
Medtr1g082480.1	bHLH	Medtr1g082480	OG0000817	TFDB	medtr
Medtr1g082660.1	NF-YC	Medtr1g082660	OG0002046	TFDB	medtr
Medtr1g083070.1	NF-YB	Medtr1g083070	OG0000523	TFDB	medtr
Medtr1g083640.1	FAR1	Medtr1g083640	OG0005365	TFDB	medtr
