TF_ID	Gene_ID	Family
XP_015895705.1	LOC107429517	RAV
XP_015895704.1	LOC107429517	RAV
XP_015880547.1	LOC107416552	RAV
XP_015902006.1	LOC107434988	RAV
XP_015892617.1	LOC107426831	RAV
XP_015875942.1	LOC107412643	RAV
XP_015865621.1	LOC107403268	bZIP
XP_015865622.1	LOC107403268	bZIP
XP_015865703.1	LOC107403333	GRAS
XP_015865728.1	LOC107403364	bHLH
XP_015865732.1	LOC107403368	FAR1
XP_015865753.1	LOC107403390	GATA
XP_015865766.1	LOC107403399	TCP
XP_015865794.1	LOC107403423	bZIP
XP_015865811.1	LOC107403437	Nin-like
XP_015865812.1	LOC107403438	Nin-like
XP_015865865.1	LOC107403492	GRAS
XP_015865876.1	LOC107403500	TCP
XP_015865962.1	LOC107403570	NF-YA
XP_015865972.1	LOC107403570	NF-YA
XP_015865980.1	LOC107403570	NF-YA
XP_015866013.1	LOC107403612	FAR1
XP_015866124.1	LOC107403723	YABBY
XP_015866182.1	LOC107403783	LBD
XP_015866231.1	LOC107403836	Nin-like
XP_015866232.1	LOC107403836	Nin-like
XP_015866233.1	LOC107403836	Nin-like
XP_015866234.1	LOC107403836	Nin-like
XP_015866235.1	LOC107403836	Nin-like
XP_015866259.1	LOC107403860	bHLH
XP_015866302.1	LOC107403899	Dof
XP_015866376.1	LOC107403961	bZIP
XP_015866377.1	LOC107403961	bZIP
XP_015866451.1	LOC107404030	FAR1
XP_015866460.1	LOC107404041	NAC
XP_015866516.1	LOC107404081	NAC
XP_015866679.1	LOC107404240	Dof
XP_015866729.1	LOC107404261	bHLH
XP_015866737.1	LOC107404304	bHLH
XP_015866760.1	LOC107404328	ZF-HD
XP_015866776.1	LOC107404339	SRS
XP_015866794.1	LOC107404359	bHLH
XP_015866872.1	LOC107404439	bZIP
XP_015866948.1	LOC107404509	NAC
XP_015866969.1	LOC107404531	bHLH
XP_015866975.1	LOC107404538	Trihelix
XP_015867006.1	LOC107404563	SBP
XP_015867010.1	LOC107404567	bZIP
XP_015867026.1	LOC107404577	bHLH
XP_015867031.1	LOC107404577	bHLH
XP_015867035.1	LOC107404587	WRKY
XP_015867036.1	LOC107404587	WRKY
XP_015867058.1	LOC107404603	GRAS
XP_015867081.1	LOC107404623	CPP
XP_015867129.1	LOC107404662	EIL
XP_015867132.1	LOC107404664	bHLH
XP_015867168.1	LOC107404694	WRKY
XP_015867169.1	LOC107404695	WRKY
XP_015867254.1	LOC107404773	WRKY
XP_015867515.1	LOC107405020	YABBY
XP_015867528.1	LOC107405038	ZF-HD
XP_015867542.1	LOC107405051	NAC
XP_015867549.1	LOC107405054	Trihelix
XP_015867557.1	LOC107405054	Trihelix
XP_015867574.1	LOC107405081	LBD
XP_015867585.1	LOC107405089	BBR-BPC
XP_015867590.1	LOC107405095	bZIP
XP_015867591.1	LOC107405095	bZIP
XP_015867592.1	LOC107405095	bZIP
XP_015867594.1	LOC107405098	LBD
XP_015867658.1	LOC107405158	Dof
XP_015867675.1	LOC107405176	bHLH
XP_015867766.1	LOC107405250	TCP
XP_015867842.1	LOC107405321	LBD
XP_015867881.1	LOC107405356	LFY
XP_015867952.1	LOC107405418	E2F/DP
XP_015867953.1	LOC107405418	E2F/DP
XP_015867959.1	LOC107405422	GeBP
XP_015868034.1	LOC107405484	bZIP
XP_015868077.1	LOC107405522	TCP
XP_015868192.1	LOC107405633	bHLH
XP_015868235.1	LOC107405665	ZF-HD
XP_015868249.1	LOC107405676	ZF-HD
XP_015868332.1	LOC107405758	CPP
XP_015868389.1	LOC107405811	E2F/DP
XP_015868390.1	LOC107405811	E2F/DP
XP_015868446.1	LOC107405867	bZIP
XP_015868519.1	LOC107405942	WRKY
XP_015868530.1	LOC107405953	Dof
XP_015868637.1	LOC107406060	bZIP
XP_015868683.1	LOC107406103	NAC
XP_015868688.1	LOC107406107	GRAS
XP_015868689.1	LOC107406107	GRAS
XP_015868690.1	LOC107406107	GRAS
XP_015868691.1	LOC107406107	GRAS
XP_015868740.1	LOC107406151	LBD
XP_015868742.1	LOC107406153	BES1
XP_015868749.1	LOC107406159	bHLH
XP_015868798.1	LOC107406208	SBP
XP_015868825.1	LOC107406235	BES1
XP_015868886.1	LOC107406288	WRKY
XP_015868887.1	LOC107406290	WRKY
XP_015868915.1	LOC107406320	bZIP
XP_015868935.1	LOC107406338	HSF
XP_015868957.1	LOC107406361	bHLH
XP_015868967.1	LOC107406373	HSF
XP_015868969.1	LOC107406371	bHLH
XP_015868974.1	LOC107406380	bHLH
XP_015868975.1	LOC107406371	bHLH
XP_015868985.1	LOC107406371	bHLH
XP_015868990.1	LOC107406371	bHLH
XP_015869040.1	LOC107406434	bZIP
XP_015869180.1	LOC107406551	NAC
XP_015869183.1	LOC107406554	Dof
XP_015869190.1	LOC107406559	bHLH
XP_015869191.1	LOC107406560	bHLH
XP_015869253.1	LOC107406622	WRKY
XP_015869322.1	LOC107406669	GRAS
XP_015869323.1	LOC107406669	GRAS
XP_015869324.1	LOC107406670	WRKY
XP_015869619.1	LOC107406915	WRKY
XP_015869627.1	LOC107406925	WRKY
XP_015869638.1	LOC107406933	WRKY
XP_015869655.1	LOC107406950	FAR1
XP_015869717.1	LOC107407016	WRKY
XP_015869842.1	LOC107407125	bHLH
XP_015869909.1	LOC107407179	bHLH
XP_015869917.1	LOC107407179	bHLH
XP_015869924.1	LOC107407179	bHLH
XP_015869933.1	LOC107407179	bHLH
XP_015869976.1	LOC107407232	WRKY
XP_015869999.1	LOC107407252	WRKY
XP_015870030.1	LOC107407281	bHLH
XP_015870052.1	LOC107407304	WRKY
XP_015870123.1	LOC107407364	WRKY
XP_015870139.1	LOC107407375	HSF
XP_015870158.1	LOC107407392	NF-YB
XP_015870165.1	LOC107407398	GATA
XP_015870213.1	LOC107407443	bHLH
XP_015870221.1	LOC107407447	FAR1
XP_015870227.1	LOC107407447	FAR1
XP_015870356.1	LOC107407574	WRKY
XP_015870406.1	LOC107407618	NAC
XP_015870453.1	LOC107407659	WRKY
XP_015870463.1	LOC107407668	WRKY
XP_015870518.1	LOC107407727	NAC
XP_015870520.1	LOC107407729	NAC
XP_015870537.1	LOC107407743	NF-YA
XP_015870555.1	LOC107407754	FAR1
XP_015870561.1	LOC107407754	FAR1
XP_015870581.1	LOC107407780	WRKY
XP_015870622.1	LOC107407820	FAR1
XP_015870629.1	LOC107407820	FAR1
XP_015870655.1	LOC107407847	NAC
XP_015870776.1	LOC107407948	NAC
XP_015870803.1	LOC107407974	WRKY
XP_015870836.1	LOC107408003	SRS
XP_015871029.1	LOC107408172	NAC
XP_015871076.1	LOC107408214	bHLH
XP_015871167.1	LOC107408300	NAC
XP_015871249.1	LOC107408378	bHLH
XP_015871264.1	LOC107408393	SRS
XP_015871337.1	LOC107408455	NAC
XP_015871359.1	LOC107408475	bHLH
XP_015871428.1	LOC107408540	NAC
XP_015871461.1	LOC107408570	GATA
XP_015871467.1	LOC107408578	GATA
XP_015871483.1	LOC107408594	NAC
XP_015871490.1	LOC107408598	bZIP
XP_015871536.1	LOC107408642	NAC
XP_015871693.1	LOC107408788	GRAS
XP_015871694.1	LOC107408788	GRAS
XP_015871759.1	LOC107408850	SBP
XP_015871760.1	LOC107408850	SBP
XP_015871761.1	LOC107408850	SBP
XP_015871763.1	LOC107408850	SBP
XP_015871790.1	LOC107408877	SBP
XP_015871791.1	LOC107408877	SBP
XP_015871792.1	LOC107408877	SBP
XP_015871793.1	LOC107408877	SBP
XP_015871794.1	LOC107408879	SBP
XP_015871795.1	LOC107408879	SBP
XP_015871796.1	LOC107408879	SBP
XP_015871797.1	LOC107408879	SBP
XP_015871799.1	LOC107408885	SBP
XP_015871800.1	LOC107408885	SBP
XP_015871801.1	LOC107408885	SBP
XP_015871802.1	LOC107408885	SBP
XP_015871816.1	LOC107408899	bHLH
XP_015871944.1	LOC107409025	WRKY
XP_015872016.1	LOC107409098	BES1
XP_015872051.1	LOC107409128	SRS
XP_015872081.1	LOC107409156	WRKY
XP_015872096.1	LOC107409175	SBP
XP_015872098.1	LOC107409173	CPP
XP_015872133.1	LOC107409212	EIL
XP_015872151.1	LOC107409231	SRS
XP_015872191.1	LOC107409268	GRAS
XP_015872192.1	LOC107409268	GRAS
XP_015872232.1	LOC107409310	GRAS
XP_015872233.1	LOC107409310	GRAS
XP_015872269.1	LOC107409348	NAC
XP_015872425.1	LOC107409505	NF-YB
XP_015872426.1	LOC107409505	NF-YB
XP_015872516.1	LOC107409602	GRAS
XP_015872527.1	LOC107409613	GRAS
XP_015872556.1	LOC107409642	bZIP
XP_015872573.1	LOC107409660	FAR1
XP_015872645.1	LOC107409729	NAC
XP_015872670.1	LOC107409759	WRKY
XP_015872673.1	LOC107409762	Dof
XP_015872679.1	LOC107409769	Whirly
XP_015872801.1	LOC107409894	NAC
XP_015872803.1	LOC107409892	bZIP
XP_015872821.1	LOC107409914	S1Fa-like
XP_015872823.1	LOC107409916	bHLH
XP_015872841.1	LOC107409936	SBP
XP_015872885.1	LOC107409984	SBP
XP_015872891.1	LOC107409987	NAC
XP_015872945.1	LOC107410047	WRKY
XP_015873006.1	LOC107410110	GATA
XP_015873010.1	LOC107410115	Dof
XP_015873031.1	LOC107410138	ZF-HD
XP_015873038.1	LOC107410147	TCP
XP_015873053.1	LOC107410162	ZF-HD
XP_015873117.1	LOC107410229	E2F/DP
XP_015873163.1	LOC107410267	YABBY
XP_015873164.1	LOC107410267	YABBY
XP_015873165.1	LOC107410267	YABBY
XP_015873302.1	LOC107410388	FAR1
XP_015873368.1	LOC107410445	LBD
XP_015873379.1	LOC107410460	EIL
XP_015873405.1	LOC107410484	TCP
XP_015873487.1	LOC107410557	Dof
XP_015873555.1	LOC107410620	HSF
XP_015873603.1	LOC107410665	FAR1
XP_015873627.1	LOC107410682	GeBP
XP_015873700.1	LOC107410742	GRAS
XP_015873856.1	LOC107410888	FAR1
XP_015873959.1	LOC107410972	GRAS
XP_015873960.1	LOC107410973	GRAS
XP_015874011.1	LOC107411021	GRAS
XP_015874021.1	LOC107411028	GRAS
XP_015874024.1	LOC107411030	GRAS
XP_015874038.1	LOC107411041	GRAS
XP_015874093.1	LOC107411096	Dof
XP_015874094.1	LOC107411096	Dof
XP_015874110.1	LOC107411105	VOZ
XP_015874118.1	LOC107411105	VOZ
XP_015874380.1	LOC107411328	LBD
XP_015874383.1	LOC107411332	NAC
XP_015874384.1	LOC107411332	NAC
XP_015874389.1	LOC107411336	NAC
XP_015874390.1	LOC107411336	NAC
XP_015874418.1	LOC107411360	GATA
XP_015874491.1	LOC107411424	bHLH
XP_015874524.1	LOC107411453	TCP
XP_015874527.1	LOC107411428	NAC
XP_015874568.1	LOC107411485	bZIP
XP_015874603.1	LOC107411519	LBD
XP_015874639.1	LOC107411547	LBD
XP_015874666.1	LOC107411572	bZIP
XP_015874710.1	LOC107411608	VOZ
XP_015874714.1	LOC107411616	WRKY
XP_015874717.1	LOC107411608	VOZ
XP_015874725.1	LOC107411608	VOZ
XP_015874808.1	LOC107411687	bHLH
XP_015874809.1	LOC107411687	bHLH
XP_015874948.1	LOC107411803	GATA
XP_015875065.1	LOC107411905	NF-YB
XP_015875144.1	LOC107411970	NAC
XP_015875152.1	LOC107411970	NAC
XP_015875159.1	LOC107411970	NAC
XP_015875193.1	LOC107412013	NF-YC
XP_015875194.1	LOC107412013	NF-YC
XP_015875195.1	LOC107412013	NF-YC
XP_015875344.1	LOC107412147	Trihelix
XP_015875386.1	LOC107412187	CPP
XP_015875387.1	LOC107412187	CPP
XP_015875388.1	LOC107412187	CPP
XP_015875389.1	LOC107412187	CPP
XP_015875423.1	LOC107412218	bHLH
XP_015875424.1	LOC107412218	bHLH
XP_015875429.1	LOC107412221	bZIP
XP_015875452.1	LOC107412242	GeBP
XP_015875499.1	LOC107412271	GeBP
XP_015875517.1	LOC107412286	ZF-HD
XP_015875603.1	LOC107412353	BES1
XP_015875614.1	LOC107412353	BES1
XP_015875625.1	LOC107412369	WRKY
XP_015875633.1	LOC107412369	WRKY
XP_015875693.1	LOC107412425	HSF
XP_015875710.1	LOC107412447	NAC
